fips,medianHouseholdIncome2009,medianHouseholdIncome2010,medianHouseholdIncome2011,medianHouseholdIncome2012,medianHouseholdIncome2013
1001,51463,53255,53899,53773,53682
1003,48918,50147,51321,50706,50221
1005,32537,33219,34041,31889,32911
1007,41236,41770,40506,36824,36447
1009,45406,45549,45404,45192,44145
1011,26209,31602,31955,34500,32033
1013,31938,30659,31273,30752,29918
1015,38382,38407,39467,40093,39962
1017,32433,31467,32186,32181,32402
1019,40240,40690,37833,36241,34907
1021,38966,39486,40418,40834,41250
1023,30749,31076,32188,35123,33941
1025,27080,27439,29668,30954,29357
1027,37652,35595,35410,34556,34002
1029,33742,36077,38785,37244,38019
1031,41973,42253,42065,44626,43768
1033,39366,39610,40247,40158,39077
1035,27216,26944,27977,27064,24658
1037,33595,35560,37191,37425,37277
1039,33278,33852,33544,35321,35869
1041,31058,35140,38041,37309,36275
1043,38394,38567,38703,39244,38847
1045,42225,43353,45491,45247,44889
1047,26442,26029,26909,26178,26519
1049,33634,35065,36853,36853,37851
1051,52971,53128,54831,55514,54766
1053,32321,31927,31638,31075,30687
1055,36378,36422,37772,37660,38013
1057,35754,34560,33378,33090,33838
1059,33380,33942,35831,37235,36415
1061,31055,34140,35237,33618,35625
1063,22352,22222,23004,23777,24226
1065,29841,29299,29236,29409,30051
1067,35792,38379,39948,40680,41650
1069,41096,41022,41766,41828,40948
1071,35073,36312,36383,37059,37634
1073,44718,45244,45750,45415,45429
1075,31094,33887,34711,35271,36028
1077,37691,39345,39702,40701,42844
1079,41472,40516,40009,39526,38551
1081,38588,40894,42320,43189,43542
1083,44997,46682,47199,48197,48619
1085,30270,29714,27905,28023,26230
1087,26305,27544,29355,27957,30724
1089,54979,55851,57453,58242,58434
1091,30819,32940,35165,34515,35079
1093,32224,32769,31799,31970,32888
1095,37396,37661,38563,38649,39526
1097,40476,40996,42187,42973,43028
1099,29810,30235,29849,30996,29203
1101,43015,43725,44587,44401,44790
1103,42913,44349,45564,45852,44800
1105,26270,25950,27222,31008,28209
1107,27150,28280,29096,28762,28741
1109,28065,29181,31179,31702,33090
1111,35137,34593,35823,35074,35213
1113,32064,32481,33754,33591,36143
1115,48425,48837,49200,49652,50786
1117,67534,68380,68883,69379,68770
1119,20994,25338,21964,22655,22186
1121,35865,36948,36609,35209,35439
1123,36637,36904,39423,38611,39130
1125,39579,42311,43538,43996,45408
1127,36708,37191,37161,37408,37566
1129,34738,36431,40286,42256,42156
1131,22006,23491,23750,24212,23642
1133,29818,33685,32557,32830,32900
2013,56250,54375,57083,58125,61250
2016,72989,72917,75179,77292,81853
2020,70151,73004,75485,76495,77454
2050,53120,52214,52063,52349,51689
2060,62500,84000,80000,79931,79531
2068,76250,72500,82898,74044,72500
2070,60466,60800,57681,56857,54150
2090,65121,66598,68922,69485,69223
2100,44284,47981,51667,50208,52866
2105,43208,43750,49545,48942,49545
2110,76437,75517,77465,78947,81490
2122,55966,57454,59256,59421,61793
2130,57500,61695,57243,59736,62519
2150,59655,60776,66326,70976,68718
2164,41458,40909,51429,49808,51786
2170,66052,67703,70343,70728,71037
2180,55766,53899,52435,51472,49974
2185,66556,68517,76667,76679,80761
2188,57885,55217,59893,60870,61607
2195,61115,62317,64216,61696,63934
2198,45889,45728,45513,45774,46071
2220,58895,62024,69798,66895,69405
2230,71295,73500,73000,71583,71667
2240,59407,59596,59917,62712,56801
2261,55952,60383,62238,67421,74878
2270,36712,37955,39583,40608,40176
2275,49508,50389,50000,47348,45841
2282,66250,65750,74844,71705,72500
2290,33716,33712,35335,35559,34710
4001,28378,30184,31011,31615,31476
4003,43304,44876,45906,45505,45755
4005,48259,49510,49615,48320,49555
4007,36930,37580,37905,38504,39954
4009,40889,41683,43083,44421,44943
4011,45476,48696,49390,49692,47992
4012,31640,32147,32220,35093,35776
4013,55223,55054,55099,54385,53596
4015,40157,39785,40573,39383,39200
4017,38197,39774,38975,37683,36927
4019,45885,45521,46341,46443,45841
4021,49301,51310,51212,50164,50027
4023,37204,36519,38092,37692,37745
4025,43965,43290,44084,43652,42987
4027,38854,40340,41441,41156,41595
5001,36341,37230,38986,39883,39633
5003,33007,34934,35657,38069,35683
5005,34534,35606,35589,35209,35343
5007,50377,50434,52159,53515,54515
5009,36839,36977,37703,38364,38506
5011,26207,29908,32337,32321,30409
5013,32148,32450,30625,31425,30980
5015,32978,34235,36031,35558,36584
5017,20543,21676,23954,25188,26201
5019,31409,31968,32998,32393,32721
5021,29282,29066,31135,32695,31502
5023,36405,35753,38510,39410,40246
5025,35063,36957,34292,38060,39420
5027,35258,35148,36163,34895,35128
5029,33554,32700,31890,32625,35225
5031,39431,39233,40221,41054,41393
5033,38942,40197,40409,39981,39479
5035,32323,33716,35264,36521,37751
5037,36036,37021,38432,39665,38085
5039,28233,29602,30011,30309,28931
5041,27072,29051,30786,29504,28680
5043,32061,32558,32038,32087,31171
5045,44600,45287,47649,49008,50314
5047,30991,32064,34819,35918,36766
5049,30771,30598,33281,35059,35522
5051,36454,36844,38210,38680,39162
5053,51238,51589,50927,49063,49004
5055,38012,38209,39090,38481,38413
5057,35518,35708,34885,31193,32056
5059,36095,37150,38188,39652,41193
5061,33180,34554,37146,35236,35879
5063,34798,34625,34878,34374,35026
5065,32269,31673,31865,31011,30661
5067,28680,27615,31352,31692,30284
5069,35265,35998,37682,37561,37140
5071,30953,30592,31400,32198,31003
5073,26491,27515,30152,28633,29732
5075,29119,30288,32337,32205,32239
5077,26283,30494,25270,26098,25034
5079,34876,35737,31480,34107,32697
5081,32884,33416,38564,39042,39673
5083,35716,37551,38447,37237,34996
5085,50295,50757,51096,51499,52582
5087,36667,36502,35579,33481,35771
5089,31772,34109,34063,33497,34494
5091,39090,40307,40200,40314,41319
5093,32940,33407,34267,35651,36428
5095,29607,29964,28306,28075,27263
5097,36095,35705,34934,33240,31345
5099,32969,38375,38006,35578,33694
5101,28166,27441,29702,27790,30038
5103,30167,31259,33008,32032,32015
5105,44921,43635,42514,42738,42455
5107,26336,27361,28225,27219,26737
5109,33024,32806,32457,32087,32206
5111,31894,32267,31939,31743,32089
5113,33274,32525,32395,33479,32835
5115,38511,39841,40325,40948,40453
5117,32176,35346,36194,35806,34855
5119,44370,45121,45897,46102,46013
5121,28427,30222,33072,32539,34418
5123,27016,27019,26360,30104,30873
5125,51082,51502,52982,53817,55348
5127,33969,36417,38910,38130,37448
5129,27071,28811,29384,30301,30779
5131,39131,39482,40680,40247,40471
5133,34090,34383,35289,32081,35153
5135,29589,31135,29590,30240,30861
5137,27167,30380,31364,32834,29832
5139,35732,36464,37794,39349,37435
5141,30531,31960,32906,33900,32517
5143,43317,42303,41474,41429,41248
5145,38417,39178,41618,41410,42487
5147,27880,27186,27047,28061,28259
5149,36398,36606,37477,38245,35535
6001,68863,69384,70821,71516,72112
6003,54605,63478,59018,59931,58636
6005,57347,54758,56180,53462,53684
6007,42002,43170,42971,43339,43752
6009,57676,54971,55256,54686,55295
6011,47150,48016,49558,52165,52158
6013,77838,78385,79135,78187,78756
6015,38408,36118,37588,39626,37909
6017,70765,70000,68815,70117,69297
6019,46230,46430,46903,45741,45563
6021,40973,43074,43239,42641,43023
6023,39124,40089,40376,40830,41426
6025,37595,38685,39402,41255,41807
6027,44952,44808,49571,45000,44796
6029,46216,47089,48021,47727,48552
6031,46595,48684,48838,48761,48133
6033,41182,39491,39525,38147,36548
6035,48653,50317,52484,51921,53107
6037,54828,55476,56266,56241,55909
6039,46083,46039,47724,47937,45625
6041,87728,89268,89605,90962,90839
6043,47808,49098,49174,52584,49820
6045,43404,43759,44527,43721,43469
6047,43848,43844,43945,43565,42591
6049,34007,34588,35402,37482,36212
6051,51970,55087,60469,61868,61757
6053,59693,59271,59737,60143,59168
6055,68416,67389,68641,69571,70443
